학과	88	322	855
기숙사	50	181	334
휴학	41	268	966
등록	33	161	614
수강신청	30	481	1300
시설이용	30	768	1575
증명서	28	157	590
도서관	25	205	420
교내외장학금	23	313	1007
학부	22	49	181
단과대학	19	68	110
학생증	18	45	137
버스	17	214	1678
복학	15	58	238
IT서비스	15	200	431
학교 소개	13	253	475
학자금대출	13	25	47
외국인유학생	13	21	60
교내기관	13	203	504
국가장학금	12	39	161
글로벌 교육	11	61	392
교환학생	10	71	222
자퇴	10	36	149
성적	10	412	1452
사회봉사	9	155	505
학생지원	9	190	436
계절학기	8	188	572
강의계획서	7	779	6209
학점 이수	7	296	728
포털시스템	7	93	158
캠퍼스 안내	6	774	1646
다전공	6	159	441
학생활동	6	66	143
출결	6	356	1958
인턴십	6	59	163
학교법인	5	12	24
어학교육	5	5	7
연구지원	5	5	20
재입학	5	36	102
시험	5	27	117
단국미디어센터	5	12	56
DKU News	5	12	32
총장	4	97	439
연구기관	4	6	14
분납	4	10	43
전부(과)	4	70	208
학생회	4	37	71
홍보관	4	5	35
공지 및 행사	4	36	103
재수강	4	106	409
대외활동	4	31	67
온라인강의	4	86	1117
대학기관/규정	3	42	98
수강정정/철회	3	27	124
이러닝	3	60	116
졸업논문/졸업	3	133	337
자격증	3	41	69
병무	3	38	77
비교과 프로그램	3	81	175
영어교과면제	3	111	259
입학안내	2	7	15
학사일정	2	542	1073
학점교류	2	63	111
제적	2	32	98
특강/프로그램	2	39	105
행정서비스	2	2	8
졸업앨범	2	11	46
유고결석	2	124	312
용어	2	25	192
채용 정보	2	184	1527
대학원	1	42	82
강의평가	1	17	43
인적사항및주소변경	1	25	115
졸업인증	1	83	260
조기졸업	1	9	28
공인토익시험	1	118	441
식단	1	480	2210
인물/시설	1	1599	3229
엑소브레인	1	164	551
열람실	1	87	705
날씨	1	171	1303
음식점	1	397	998
직업 정보	1	64	556
Mathway	1	15	17
