학과	소프트웨어학과	국어국문학과	식량생명공학과	상담학과	수학과	경제학과	법학과	심리치료학과	화학과	공공관리학과	응용통계학과	무역학과	파이버시스템공학과	물리학과	디스플레이공학과	응용컴퓨터공학과	모바일시스템공학과	토목환경공학과	임상병리학과	철학과	산업공학과	신소재공학과	식품공학과	건축학과	원자력융합공학과	보건행정학과	영미인문학과	고분자공학과	몽골학과	화학공학과	국제경영학과	사학과	미생물학과	동물자원학과	환경원예학과	건축공학과	스포츠경영학과	행정학과	에너지공학과	분자생물학과	사회복지학과	나노바이오의과학과	경영학과 야간	녹지조경학과	치위생학과	기계공학과	생활체육학과	제약공학과	식품영양학과	중동학과	국제스포츠학과	생명과학과	물리치료학과	해병대군사학과	환경자원경제학과	정치외교학과	산업보안학과	생명의료정보학과	운동처방재활학과	마이스터경영학과 야간	영어과	프랑스어과	수학교육과	일본어과	작곡과	한문교육과	포르투갈브라질어과	독일어과	러시아어과	스페인어과	중국어과	도예과	국악과	기악과	무용과	문예창작과	특수교육과	패션산업디자인과	과학교육과	교직교육과	국제스포츠학부 태권도전공	성악과	생활음악과	커뮤니케이션디자인과	의생명공학부 의생명공학전공	죽전캠퍼스 학과 안내	천안캠퍼스 학과 안내	체육교육과
기숙사	기숙사 정보	기숙사건강진단서검사종류	기숙사건강진단서대체서류	기숙사공동샤워실	기숙사기간외입사여부	기숙사냉장고여부	기숙사룸메이트신청여부	기숙사방내부시설	기숙사방문차량주차비	기숙사비기간외납부여부	기숙사비보증금	기숙사비상연락망	기숙사비식사비포함여부	기숙사비예금주	기숙사비입금계좌유선확인	기숙사비입금계좌확인	기숙사비입금방법	기숙사비입금확인	기숙사비전액납부여부	기숙사비카드결제여부	기숙사비현금영수증신청방법	기숙사식권구매	기숙사신청경쟁률	기숙사외박신청방법	기숙사입사가능기간	기숙사입사기준	기숙사입사발표기간	기숙사입사발표연락여부	기숙사입사발표확인방법	기숙사입사서류준비	기숙사입사신청기간	기숙사입사신청방법	기숙사입사전내부확인여부	기숙사입사전택배여부	기숙사입사준비물	기숙사장기비움신청	기숙사장기입사우선선발	기숙사전열기구반입여부	기숙사중도퇴사시환불방법	기숙사중도퇴사후신청여부	기숙사중복시청	기숙사추가모집방법	기숙사추가모집여부	기숙사추가신청여부	기숙사컴퓨터개별소지여부	기숙사통화가능여부	기숙사평수	기숙사화장실샤워실여부	교내기숙사세탁실	신입생기숙사신청방법																																						
휴학	휴학가능횟수	휴학구분필수여부	휴학군휴학변경	휴학기간	휴학등록금납부	휴학등록금인상	휴학등록금차액	휴학등록금환불	휴학생도서관이용방법	휴학신청기간	휴학신청방법	휴학신청시불이익여부	휴학연장방법	휴학예정자수강신청	휴학적용시간	휴학전등록금납부	휴학전학점이월	휴학중사회봉사	휴학중수강신청	휴학취소방법	휴학확인방법	휴학횟수확인방법	휴학후등록금납부	자녀군대휴학	학사안내 학적 휴학 복학	기간외미등록휴학	미등록휴학연장	군휴학신청기간	대리휴학신청서류	등록여부휴학차이	등록휴학등록금차액	방문휴학신청	분납신청휴학	수강신청후휴학	신입생휴학	질병휴학서류	질병휴학자격	창업휴학신청	편입생휴학기간	재입학후휴학	지도교수미연락																																															
등록	교육비증명발급시기	등록금가상계좌	등록금계좌금액	등록금계좌오류	등록금고지서발송	등록금고지서출력	등록금고지서팩스	등록금금액오류	등록금납부방법	등록금납부수수료	등록금납부알림	등록금납부오류	등록금납부증명출력	등록금납부증명팩스	등록금납부확인	등록금납부확인기간	등록금미납불이익	등록금미납시알림	등록금반환	등록금분할납부	등록금선납	등록금소득공제	등록금주말이체	등록금카드결제	등록금현금영수증	등록기간	학사안내 등록 분납	자녀대신등록금납부확인방법	마지막학기등록금감면	전체금액증명서발급방법	추가기간전납부	추가납부기간	연말정산교육비확인																																																							
수강신청	학사안내 수강신청	수강신청기간	강의교환여부	수강변경기간	수강신청강제입력	수강신청동시접속여부	수강신청불법행위	수강신청시오류발생	수강신청안내문	수강신청여석없음	수강신청우선권여부	모바일수강신청방법	수강신청주의사항	수강신청차수차이	수강신청홈피오류	군인수업문의	일반학생군사학수강여부	로그인비밀번호찾기	마지막학기최소신청학점	학기초과자수강신청	야간수업신청여부	신입생신청가능학점	일괄신청과목변경여부	수강계획도우미	필수과목여석없음	제한인원의미	폐강기준인원	지난학기학점이월	타전공교과목이수	희망과목개설요청																																																										
시설이용	죽전캠퍼스 편의시설	교내복사실	교내식당	교내카페	교내서점문구점	교내우체국	교내은행	교내대학진료소	교내기념품판매점	교내안경점	교내기숙사편의점	교내ATM위치	교내시설대여	교내게시판이용방법	교내긴급대피로	교내냉난방	교내CCTV운영	교내자전거보관소	교내제설장비	교내청소운영	교내컴퓨터실	교내통합경비상황실	교내흡연구역	천안캠퍼스 편의시설	시설이용 교내게시물	시설이용 박물관	분수가동기간	죽전캠퍼스정문탑	물품 대여	우산 대여																																																										
증명서	학사안내 제증명 학생증 증명서 발급 서비스	개명후증명서정정	학생증명서	증명서대리발급가능여부	증명서발급가능캠퍼스	증명서영어이름정정방법	증명서유선신청가능여부	증명서팩스민원신청	성적증명서석차여부	성적증명서학점평균	재학증명서발급조건	인터넷증명서pdf다운여부	인터넷증명서결제오류	인터넷증명서미리보기가능여부	인터넷증명서본인확인방법	인터넷증명서원본여부	인터넷증명서이체가능여부	인터넷증명서직인여부	인터넷증명서출력가능기간	인터넷증명서출력오류	자녀대리증명서발급방법	팩스민원증명서원본여부	학사안내 제증명 학생증 수상실적 증명 발급	압인받는방법	로그인시학적불일치	우편민원방법	자녀대리팩스민원신청방법	팩스민원처리기간																																																												
도서관	죽전 도서관 정보	천안 도서관 정보	고등학생도서관이용여부	학생증미소지시도서관출입여부	학생증미소지시도서대출여부	학생증발급전도서관출입방법	학생증발급전도서대출방법	대학도서관사서취업	도서구입가능여부	도서기증방법	도서대출기간연장방법	도서연체시증명서발급방법	졸업생도서관이용방법	타대학도서관이용여부	타캠퍼스도서관이용여부	지역실거주자도서관이용여부	지역주민도서관이용여부	지역주민사물함사용여부	지역주민전자정보실이용여부	지역주민전자정보실컴퓨터사용여부	대출증양도가능여부	성남시주민도서관이용여부	신입생편입생도서관이용방법	아산시주민도서관이용여부	신입생편입생도서대출방법																																																															
교내외장학금	학사안내 장학 교내외장학금	교내장학금수혜확인	교내장학금신청기간	교내장학금계좌지급	교외장학재단연락처	성적장학금기간외추가신청	성적장학금본인신청여부	성적장학금본인신청이유	다자녀장학금문의	단국재학생가족장학금부모계좌신청	단국재학생가족장학금신청기간	장학금미수령	장학금수령액차이이유	장학금수혜유선확인	장학금수혜확인방법	장학금수혜확인서발급	장학금이중지원문의	장학금이중지원반환	장학금이중지원확인처리	장학생납부방법	춘강효행장학금선발및지급기간	춘강효행장학금신청기간	춘강효행장학금신청방법																																																																	
학부	SW융합학부	경영경제대학 경영학부	경영경제대학 국제학부	공과대학 건축학부	공과대학 고분자시스템공학부	과학기술대학 생명과학부	국제자유전공학부	사회과학대학 도시계획·부동산학부	사회과학대학 커뮤니케이션학부	생명공학대학 생명자원학부	생명공학대학 의생명공학부	생명공학대학 환경원예조경학부	스포츠과학대학 국제스포츠학부	예술대학 미술학부	외국어대학 아시아중동학부	외국어대학 유럽중남미학부	음악예술대학 공연영화학부	음악예술대학 디자인학부	음악예술대학 음악학부	전자전기공학부	죽전캠퍼스 교양교육대학 교양학부	천안캠퍼스 교양교육대학 교양학부																																																																		
단과대학	음악예술대학	예술대학	의과대학	SW융합대학	간호대학	경영경제대학	공과대학	문과대학	법과대학	과학기술대학	국제대학	생명공학대학	약학대학	보건복지대학	사범대학	사회과학대학	스포츠과학대학	외국어대학	치과대학																																																																					
